Gravity_xy,Gravity_z,Light_level,Peak_intensity,Battery_temp,Exponential_a,Exponential_b,Breath_time,Evaporation_time,Ambiant_temp,Ambiant_humidity,BAC
7.9171,5.7525,32.9912,19.2375,24.8,2.7594,-0.3829,0.838,7.013,24.8,38,0
7.7519,5.9966,37.3944,20.078,27.1,2.7991,-0.6046,1.217,5.183,24.8,38,0
7.4855,6.3284,10.1379,18.594,28.6,3.0434,-0.522,1.618,6.119,24.7,38,0
8.3827,5.0866,36.27,12.33,29.5,1.2649,-0.4563,1.529,3.132,24.7,38,0
6.049,7.7,6.38,24.15,24.6,2.2447,-1.8739,1.1,1.383,22.7,45,0.01
6.35,7.46,8,23.39,25.6,3.1902,-0.4378,1.53,6.19,22.7,45,0.01
6.75,7.03,7.92,23.2248,26.5,3.3576,-0.3526,1.53,7.99,22.7,46,0.01
7.1051,6.7159,9.11,24.36,24.5,1.9637,-0.7805,1.082,3.089,22.7,46,0.012
7.5966,6.183,49.86,22.37,25.3,3.25,-0.3004,1.129,9.844,22.7,45,0.012
5.3975,8.1851,29.4375,24,26.2,3.421,-0.3729,1.17,8.074,22.7,45,0.012
6.6343,7.2183,21.6915,18.3979,26.9,2.9413,-0.4327,1.197,6.748,22.6,46,0.012
6.9412,6.9247,35.5313,12.2313,27.5,2.0306,-0.9938,0.975,2.262,22.6,46,0.012
6.5334,7.3085,9.0685,17.8463,28.1,2.3772,-0.4783,0.962,5.222,22.6,46,0.012
7.5,6.2914,29.5,23.2354,25,2.2329,-1.2749,0.992,1.955,22.6,46,0.018
7.47,6.3349,30.3929,21.8223,25.7,2.194,-1.2702,1.407,1.931,22.6,46,0.018
0.1645,9.8052,11.1078,23.0443,26.7,3.1144,-0.3967,1.142,7.12,22.6,46,0.018
6.5965,14.425,14.425,22.7407,27.9,3.0379,-0.4866,1.428,5.657,22.5,46,0.018
6.9366,6.9306,7.5455,21.3208,28.6,2.6537,-0.8041,1.298,3.725,22.5,46,0.018
7.69,6.0778,32.33,16.464,28.5,1.9814,-0.8658,1.308,2.762,24.6,39,0
8.8,4.316,26.7143,15.2638,30.1,2.3537,-1.104,1.739,2.462,24.4,39,0
7.82,5.88,11.1667,21.9577,24.1,1.9084,-1.4543,0.988,1.629,23.6,41,0.008
7.3077,6.5376,0.8282,29.9092,26,3.5696,-0.2645,1,11.618,23.6,41,0.008
6.9281,6.928,1.5561,23.3465,27.6,2.0013,-0.1685,1.096,12.781,23.6,41,0.008
8.1894,5.3947,2.1895,27.1768,28.1,3.461,-0.5651,1.39,6.605,23.6,41,0.008
8.6015,4.6873,2.6667,23.2927,28.9,2.81,-0.9429,1.349,3.324,23.6,41,0.008
8.5218,4.842,44.4636,28.3318,26.3,3.5099,-0.253,1.261,11.028,23.4,42,0.011
8.0204,5.6373,44.5111,23.1938,27.4,3.1448,-0.2594,0.964,12.482,23.4,42,0.011
7.8773,5.8393,46.1705,23.4515,28,3.3087,-0.2914,1.241,9.396,23.5,42,0.011
8.0896,5.541,39.3582,19.7678,28.7,2.776,-0.672,0.9,4.555,23.5,42,0.011
8.1834,5.402,44.8214,25.5407,29,3.3292,-0.5637,1.832,6.041,23.4,42,0.011
8.7054,4.4966,43.3675,23.6267,29.2,3.3266,-0.4,1.702,8.22,23.7,42,0
8.5317,4.8353,45.6742,23.3487,29.6,3.1753,-0.5051,2.297,6.263,23.7,42,0
8.0336,5.6231,45.3729,21.3162,29.8,2.9134,-0.7843,1.968,4.248,23.7,42,0
8.3226,5.187,33.254,19.2443,30,3.1079,-0.7122,2.268,4.557,23.7,42,0
6.61,7.24,14,23.958,21.4,1.757,-1.189,1.326,1.883,21.6,38,0.021
6.7071,7.1523,9.2759,21.2541,22.8,1.827,-1.0989,1.004,2.026,21.7,38,0.021
4.0258,8.9336,8.725,21.6143,23.6,2.8523,-0.4382,1.319,5.769,21.7,38,0.021
7.0643,6.7868,53.6371,21.6409,24.5,3.5606,-0.3356,1.01,9.081,21.8,38,0.021
6.9151,6.9349,12.2184,23.1767,25.4,3.2683,-0.4759,1.123,6.286,21.8,38,0.021
5.0244,8.3534,19.2643,25.9478,25.8,3.5949,-0.3,1.453,9.783,22.1,38,0.03
8.8585,4.2066,42.1951,21.7277,26.8,2.8678,-0.3149,1.225,8.732,22.1,38,0.03
7.8543,5.8718,22.9462,22.673,27.5,2.6627,-0.4628,1.228,6.37,22.1,38,0.03
7.8457,5.821,12.9429,15.2281,27.9,2.0918,-0.9698,1.199,2.639,22.1,38,0.03
7.9527,5.6614,49.8816,20.0334,28.4,2.3344,-0.4375,1.623,5.6,22.1,38,0.03
7.9808,5.5668,10.5122,13.9768,28.9,2.32,-0.8148,1.783,3.275,22.1,39,0.03
